Country Code,Year,GDP per capita,GDP growth rate,Urban population percentage,Literacy rate,Environmental performance index,CO2 emissions,Years Since First Data
7E,2008,6206.96495059534,3.06266605956918,60.8274751448943,96.1741027832031,39.3237886453862,5.84186688384042,16
7E,2009,5133.42316411214,-3.45157664165765,61.153260876681,96.9965896606445,39.3619818812418,5.26009410657731,17
7E,2010,6022.63009837271,7.06748297511824,61.4587747086464,97.5481185913086,39.4001120942662,5.52874418843071,18
7E,2011,6785.42242448646,8.58664528786947,61.7285471573165,97.9699401855469,39.4107108941415,5.78993138099117,19
7E,2012,7100.35950963203,4.05054798319775,61.9668543356937,98.2156677246094,39.4211988454976,5.71508908893254,20
7E,2013,7678.78503080788,6.58598057841522,62.1975567798506,98.3025207519531,39.4316357440837,5.63896034228591,21
7E,2014,7307.04619062948,3.37291324377567,62.4227343397542,98.3676528930664,39.444105366303,5.24784944327472,22
7E,2015,6312.15034167041,3.58755229325712,62.6501923753045,98.4249725341797,39.4460850929443,4.91308001444058,23
7E,2016,6006.36708907309,2.78533413629492,62.8781234369507,98.5269012451172,39.4632904974101,5.05536424411322,24
7E,2017,6111.39433717826,5.82147037918305,63.1056729336865,98.6416091918945,39.4824233566487,5.1856753563659,25
7E,2018,5957.82642405214,3.5134921058027,63.3412986250635,98.6930389404297,39.4945720189028,5.23327319306449,26
7E,2019,6022.63238606854,2.24722492786316,63.5832515869868,98.8225708007812,39.506948381983,5.0489028770165,27
7E,2020,5738.25499247106,0.321073682012468,63.8120943151863,98.8650970458984,39.5250222070037,5.00694479102527,28
8S,1990,356.574804454148,5.39691526111415,25.0790646742315,45.3592109680176,17.2797493640676,0.603675747746693,0
8S,1991,310.389411400732,2.10779541205058,25.3362395233023,46.0856399536133,17.3467395714306,0.630536611231192,1
8S,1992,322.479589256291,5.80666644174708,25.5593362109473,47.0863304138184,17.4137297787937,0.643795755781613,2
8S,1993,312.415015682559,4.28629017838986,25.7811575693434,48.0814590454102,17.4807199861567,0.661268020945244,3
8S,1994,346.734305982827,5.91822391099686,26.0089558409655,48.8493804931641,17.5731661176628,0.686349117737003,4
8S,1995,376.772632934323,6.82380368409684,26.2401974519451,49.6404914855957,17.6402535056619,0.721501028493905,5
8S,1996,403.785094673082,6.70815463580475,26.476766669177,50.4491996765137,17.7073409146152,0.740441891668269,6
8S,1997,415.087108637839,3.69457655771095,26.7144034509975,51.2601699829102,17.7744283026143,0.763095479001817,7
8S,1998,412.549316233664,5.4451638978128,26.9512860295531,56.0795593261719,17.8415156906133,0.766650477379466,8
8S,1999,433.3692098263,7.51266493316606,27.1851450231419,56.8763084411621,17.9086030786123,0.805118083838756,9
8S,2000,460.345954801747,4.1124498119147,27.4241898773167,57.6505813598633,17.9743722224434,0.816566957082537,10
8S,2001,461.902531766085,4.35912766958269,27.7028208630475,58.4130592346191,18.0094313826968,0.81797414307112,11
8S,2002,475.665286240473,3.7210753505875,28.0396661332545,59.2031288146973,18.0444905429501,0.829995471934077,12
8S,2003,544.978929448383,7.17607110111503,28.376391612937,60.0957794189453,18.0795497032035,0.840839632064842,13
8S,2004,621.230452025644,7.54872298634541,28.7210785488891,60.8761711120605,18.1209989756751,0.892669473575846,14
8S,2005,698.018931747523,7.61273344167741,29.0686712358208,60.6736717224121,18.1560705034032,0.914426849139955,15
8S,2006,779.581016028025,7.61852880141585,29.4185674275588,60.8487586975098,18.1911420311313,0.960169443518482,16
8S,2007,966.392392529503,7.13916612636942,29.7746483575015,61.6839218139648,18.2262135588595,1.03132155176384,17
8S,2008,967.126449172984,3.2981049942519,30.1339761096236,62.5962982177734,18.2612850865876,1.07346998668393,18
8S,2009,1040.51751220734,6.94990015884613,30.4931685689319,63.4580116271973,18.2963565933556,1.14916752192825,19
8S,2010,1254.01983926072,7.36599200861392,30.8553927006463,66.0289611816406,18.3314281210837,1.19493469493131,20
8S,2011,1361.56072037346,5.07122194849418,31.219043068445,66.6298599243164,18.3817752743847,1.24860377008317,21
8S,2012,1362.39812618109,5.38128973603351,31.5905459251381,66.6765899658203,18.4321224276857,1.33634611560074,22
8S,2013,1380.09891228131,6.00860161536451,31.9702760456188,67.7057571411133,18.4824695809868,1.35428348016963,23
8S,2014,1490.80407578175,6.84783789148651,32.3585341373298,68.4551620483398,18.5328167342878,1.43724124620369,24
8S,2015,1539.5941449215,7.25156162420913,32.7558060065456,69.7821502685547,18.5863467033393,1.44085209929719,25
8S,2016,1675.52326892233,7.77623550746786,33.1623406354833,71.1057815551758,18.6283491298085,1.46647360246284,26
8S,2017,1887.87828259142,6.50264099306672,33.5786134423552,71.6678314208984,18.6801084324897,1.53573126355836,27
8S,2018,1920.13115754982,6.33469355433985,34.0058991979748,72.1920623779297,18.7271714529853,1.59269269238144,28
8S,2019,1965.09061363678,3.92432284048063,34.4446340578761,71.9660263061523,18.7741033935745,1.55430501165516,29
8S,2020,1855.54425205771,-4.58269312944782,34.8932057886199,72.6831893920898,18.821054816231,1.41332515838432,30
CO,1993,1920.39896596567,5.38540993901029,70.874,91.0,57.9462352410996,1.73669681423244,0
CO,1996,2652.10388063505,2.05585471287195,72.223,91.0,57.3452510139703,1.67788377846132,3
CO,2004,2811.45945051653,5.33302206759905,75.62,93.0,55.8489553853087,1.41552825197917,11
CO,2005,3448.53832259071,4.82876110773741,76.024,93.0,55.6752095538531,1.43830052102109,12
CO,2006,3782.60349611154,6.71686869844402,76.423,92.0,55.5014637223975,1.3908990526948,13
CO,2007,4762.08306918129,6.73819469090975,76.816,93.0,55.3277178909419,1.41240423915238,14
CO,2008,5534.68944688198,3.28344618616541,77.204,93.0,55.1539720594863,1.40358463261463,15
CO,2009,5245.95158468149,1.13964864548062,77.587,93.0,54.9802262280306,1.45273323502411,16
CO,2010,6392.75802564031,4.49465897070922,77.964,93.0,54.806480396575,1.47632855579516,17
CO,2011,7392.94359822972,6.94789198173555,78.335,94.0,54.6851410545291,1.57667260906075,18
CO,2014,8167.47284156277,4.49903000110972,79.415,94.0,54.3211230283912,1.74503604453726,21
CO,2015,6228.65162110371,2.95590137527523,79.764,94.0,54.1997836863452,1.75281784309111,22
CO,2016,5936.26102166829,2.08738250162794,80.108,95.0,54.0419017575485,1.79337506198038,23
CO,2018,6782.03792028237,2.56432428277704,80.778,95.0,53.6642451554754,1.6565976948132,25
CO,2019,6436.50921493811,3.18685539245533,81.104,95.0,53.4846327174403,1.62357265486086,26
CO,2020,5308.16470717512,-7.18591413760859,81.425,96.0,53.3050112663362,1.59565960481723,27
ES,1991,14811.9028194881,2.54600058472822,75.528,96.0,28.4790705590261,6.13102948039099,0
ES,2004,24907.0008505856,3.12273351662624,77.022,97.0,35.4070555711367,8.27035246230391,13
ES,2005,26429.1509449319,3.65208419190144,77.263,98.0,35.7042517381635,8.47397627960682,14
ES,2006,28389.0785799873,4.10268574072705,77.502,98.0,36.002998116157,8.13404070637689,15
ES,2007,32591.3503065871,3.60473846199818,77.74,98.0,36.2844202680772,8.27647048145322,16
ES,2008,35510.7222312701,0.887067045576416,77.976,98.0,36.5979510825982,7.45778842917758,17
ES,2009,32169.5028548583,-3.7631070424473,78.21,98.0,36.8992880920868,6.54512765431256,18
ES,2010,30532.4805081656,0.162919517758226,78.442,98.0,37.089938201236,6.23804544128391,19
ES,2011,31677.9003083652,-0.814384776648922,78.673,98.0,37.1019204609106,6.26102083925538,20
ES,2012,28322.9465923276,-2.95892213230024,78.902,98.0,37.0797784930329,6.12783578066474,21
ES,2013,29077.1820557563,-1.40334186790638,79.133,98.0,37.0821135123248,5.57553944875,22
ES,2014,29513.6511800405,1.39577536727975,79.366,98.0,37.0844485316167,5.53605458691597,23
ES,2015,25754.36102944,3.83851887667484,79.602,98.0,37.1275324670126,5.88433175945173,24
ES,2016,26537.1594894542,3.03777414172446,79.84,98.0,37.142868581403,5.69064725883895,25
ES,2018,30379.7211126422,2.28446941947622,80.321,98.0,37.1566467814769,5.86289889040401,27
ES,2020,26984.2962770279,-11.1672978596983,80.81,99.0,37.1773054885498,4.58088883179173,29
F1,1990,1139.25578123211,5.16596905358864,35.2233747090511,59.931640625,27.2335944864313,2.43361635146264,0
F1,1991,782.51660878544,-5.99343413239096,35.474147586751,60.2198295593262,27.110764042412,2.28152987124077,1
F1,1992,681.619884235806,0.186323488081428,35.7205200224824,60.4502983093262,26.6727011200006,2.10774398803951,2
F1,1993,675.427859746939,-1.91665784982365,35.9646675369633,60.690299987793,26.5521369717612,1.95599438285498,3
F1,1994,660.84965545477,-3.45337960030204,36.1336683309076,61.2768592834473,26.4315728235218,1.75009367177214,4
F1,1995,786.942824139167,-0.314742445835563,36.272795568572,61.7497482299805,26.3110086752825,1.7481627663452,5
F1,1996,831.385223038035,3.41253962899799,36.4502543661054,62.1029891967773,26.190444531997,1.6288885723403,6
F1,1997,911.187798124227,4.54104098108053,36.6394719040797,62.6614990234375,26.0698803837576,1.6103486981554,7
F1,1998,914.940539033038,4.93316544230053,36.826538182048,63.2753486633301,25.9493162355182,1.49307860514622,8
F1,1999,667.758521407211,3.11434483184921,37.0165087311069,63.7139205932617,25.8287520872788,1.42411540415936,9
F1,2000,763.826930716849,5.46385413929056,37.2253100862157,61.9459190368652,25.7081879439934,1.44302292794058,10
F1,2001,731.010633303808,4.11186251037505,37.5128675963175,62.4523391723633,25.5989166040118,1.45142915868041,11
F1,2002,696.191010096695,4.79407485358716,37.7722661487988,62.9351501464844,25.4896578914425,1.40164372213741,12
F1,2003,715.048054121416,1.07555673504498,38.0312105916383,63.1398506164551,25.380625392015,1.42282049991937,13
F1,2004,885.530929687614,11.2617102788407,38.3069803140284,63.7163887023926,25.0868718661755,1.3738364395688,14
F1,2005,1093.61096056839,5.8344600983722,38.5969010127685,63.9384918212891,24.9783662145945,1.35684480324306,15
F1,2006,1337.51557763589,5.82117279069327,38.8701751817268,62.7258605957031,24.8697177475914,1.3151495399373,16
F1,2007,1601.44383317459,5.98811524699423,39.0987966051102,62.3854484558105,24.7611508592183,1.27901555908813,17
F1,2008,1998.94979855012,5.04211251855638,39.4463845102879,62.8083305358887,24.6529899465334,1.27707701372715,18
F1,2009,1767.14092675723,3.06541528646062,39.8005658906147,61.9644889831543,24.5481701730146,1.17435762050907,19
F1,2010,2046.88700724028,7.01741756593431,40.1607025274535,62.2679100036621,24.4397660370128,1.23573127241988,20
F1,2011,2086.15621829409,0.0438829587353808,40.4667391128396,62.2799491882324,24.3124570731165,1.21853782439233,21
F1,2012,2277.69164040928,5.57037188422089,40.7701886773318,62.5531806945801,24.0388527119717,1.24136179763821,22
F1,2013,2311.345853399,3.48339256279149,41.1141170051264,63.1230697631836,23.9127398382199,1.22381255456735,23
F1,2014,2396.43588704561,2.09628835920796,41.4599245804565,63.5632705688477,23.7863581192994,1.15080070744749,24
F1,2015,1845.31230428842,1.07053760946113,41.8391169305729,63.9676208496094,23.6598244724671,1.03136645124235,25
F1,2016,1663.08517085287,2.16715558337386,42.214696722983,64.4507369995117,23.528667832007,1.01312836757279,26
F1,2017,1690.94404160881,2.5433347260378,42.5812352672813,65.0863494873047,23.4025184228889,0.989594005984098,27
F1,2018,1852.26631004128,2.72015847064731,42.9299195401118,65.0842590332031,23.279304814703,1.00157604317336,28
F1,2019,1923.17068917178,2.52349885724942,43.2793603778762,65.7474212646484,23.1537720617099,0.963969775750902,29
F1,2020,1725.7217597946,-6.35338636086044,43.654508594701,65.6681976318359,23.0314787014741,0.840265048406111,30
MX,1990,3196.92006131977,5.25004329944582,71.419,88.0,36.3135111499781,3.54841019677479,0
MX,2000,7581.84564147003,5.02928399378261,74.722,91.0,35.1764963090614,4.04834847843606,10
MX,2002,8032.99212058539,-0.236588001922641,75.365,90.0,35.0285460016976,3.96699147491196,12
MX,2004,7883.5231908285,3.56544100946846,75.997,91.0,34.8805956943337,4.13574330309966,14
MX,2005,8702.11448264527,2.11324712586392,76.308,92.0,34.8066205406518,4.23807966741881,15
MX,2006,9545.28672703153,4.80501352746852,76.616,92.0,34.7326453869698,4.33682777825024,16
MX,2007,10178.4422388105,2.07786393438754,76.92,93.0,34.6586702332879,4.34294264479702,17
MX,2008,10589.9518729134,0.943331863036903,77.222,93.0,34.584695079606,4.30170486548923,18
MX,2009,8495.65308003777,-6.29525055780502,77.52,93.0,34.510719925924,4.15281022429039,19
MX,2010,9823.16407459477,4.9713345832195,77.815,93.0,34.4367447722421,4.23517045548508,20
MX,2011,10766.6099402311,3.44404505794418,78.111,94.0,34.3737390364979,4.2610262851192,21
MX,2012,10842.7330894856,3.55321075993527,78.405,94.0,34.3107333007536,4.36893463468893,22
MX,2013,11317.4910604809,0.852101559410627,78.699,94.0,34.2477275650094,4.2094297240277,23
MX,2014,11490.0216914226,2.50376350288664,78.993,95.0,34.1847218292652,4.04579100992273,24
MX,2015,10098.173182095,2.70232342550646,79.285,94.0,34.1217160935209,4.07661190088245,25
MX,2016,9152.73722379028,1.77249323845399,79.577,95.0,34.0559942385349,4.08342150251276,26
MX,2017,9693.33009082487,1.87172853327193,79.867,95.0,33.9902672393837,4.06142147162758,27
MX,2018,10130.3206976172,1.97208209405635,80.156,95.0,33.9245402402325,3.82848655925647,28
MX,2020,8895.61521605941,-8.62455573080136,80.731,95.0,33.7930913860953,3.3542126623262,30
S1,1990,3298.02586559108,3.16522753970921,48.2281200954714,77.9790191650391,41.8393140397144,5.71957754439584,0
S1,1991,3403.48801018951,0.48795348090853,48.5125867349475,78.2325134277344,41.7711729197486,5.40458694627048,1
S1,1992,3642.36828419344,-0.174323942545612,48.672793196576,78.4429321289062,41.8588754291834,4.76098227275347,2
S1,1993,3597.35120096065,2.16566840189974,48.8093528199777,78.7744903564453,41.7711434015778,4.56976253672449,3
S1,1994,3800.0205354302,2.91356160665242,49.0059846633001,79.0183410644531,41.7994010284047,4.79163721058732,4
S1,1995,4281.06062547934,4.33493475790149,49.1927131535816,79.3651428222656,41.7114248747252,4.59764235327935,5
S1,1996,4435.5466667599,3.86683028964958,49.3747158233482,79.8503799438477,41.6234487210457,4.71376968796455,6
S1,1997,4624.33325395851,4.09333105715525,49.5688148649851,80.2695465087891,41.5354725673662,4.81846634944115,7
S1,1998,4681.81227507379,4.24131133989232,49.7442091814844,80.8795166015625,41.4474964136867,4.6777167733415,8
S1,1999,4850.64798939689,3.06817237819546,49.9356822916024,81.3079376220703,41.3595202600072,4.57625897722392,9
S1,2000,5023.08537179372,5.82320676634845,50.1374786092809,81.4542922973633,41.2715441063277,4.66623386534614,10
S1,2001,4979.11493611358,2.70104821291078,50.3358171663519,81.8634262084961,41.1893242216123,4.73264170675084,11
S1,2002,5318.2540283512,3.09220943383978,50.5069534146168,82.4238204956055,41.1071043368968,4.59122395035045,12
S1,2003,6213.28968298475,3.84187388416255,50.6905069769725,82.8943786621094,41.0247195572564,4.8787860860481,13
S1,2004,7106.60672436058,4.46322104363479,50.9114657958865,83.3336410522461,40.9700500509197,4.89239742298154,14
S1,2005,7876.59041793564,4.49021281534354,51.1525950361476,83.7872009277344,40.8876107177074,5.06032597875328,15
S1,2006,8727.96992364784,5.82519825435497,51.3839492308273,83.459602355957,40.884452068385,5.29366377596441,16
S1,2007,10108.6797190762,5.48661044448311,51.6130371144173,83.1692886352539,40.8104978201716,5.46618160137108,17
S1,2008,10849.1102670529,1.77150771306994,51.8686799359646,83.7252426147461,40.7365441636517,5.44989733864147,18
S1,2009,9492.50717760399,-3.28005519090549,52.1180530211503,83.3575668334961,40.6627537655796,5.19674135525857,19
S1,2010,9979.02022498174,2.43168870016581,52.2847025958529,83.9132614135742,40.5889308930893,5.5207094600513,20
S1,2011,11060.0397768605,2.80137450679013,52.3707893438369,84.273811340332,40.4977049447899,5.43674041907929,21
